epoch	word_acc	length_acc	first_char_acc	second_char_acc	last_but_1_char_acc	last_char_acc
107	0.618	0.994	0.9776649746192894	0.9634517766497462	0.9614213197969543	0.9817258883248731
108	0.595	0.994	0.9736040609137055	0.9532994923857868	0.9401015228426396	0.9878172588832488
109	0.616	0.998	0.9766497461928934	0.9522842639593908	0.9624365482233502	0.9908629441624366
110	0.549	0.89	0.9705284552845529	0.9522357723577236	0.8678861788617886	0.9054878048780488
111	0.635	1.0	0.9807106598984772	0.9634517766497462	0.9644670050761421	0.9918781725888325
112	0.636	0.995	0.9786802030456853	0.9583756345177665	0.9604060913705583	0.9888324873096447
113	0.656	1.0	0.9786802030456853	0.9573604060913705	0.965482233502538	0.9888324873096447
114	0.649	1.0	0.9786802030456853	0.9583756345177665	0.965482233502538	0.9939086294416244
115	0.651	0.999	0.9756345177664975	0.9604060913705583	0.9644670050761421	0.9918781725888325
116	0.654	0.998	0.9817258883248731	0.9563451776649746	0.9604060913705583	0.9898477157360406
117	0.664	1.0	0.9807106598984772	0.9614213197969543	0.9644670050761421	0.9908629441624366
118	0.662	0.999	0.9807106598984772	0.9563451776649746	0.965482233502538	0.9908629441624366
119	0.673	1.0	0.9817258883248731	0.966497461928934	0.965482233502538	0.9928934010152284
120	0.67	0.998	0.9817073170731707	0.9613821138211383	0.9644308943089431	0.991869918699187
121	0.672	0.999	0.9857868020304569	0.9634517766497462	0.9675126903553299	0.9908629441624366
122	0.669	0.999	0.9868020304568528	0.9563451776649746	0.9675126903553299	0.9898477157360406
123	0.67	0.992	0.9847715736040609	0.9522842639593908	0.9604060913705583	0.9888324873096447
124	0.679	0.999	0.9827235772357723	0.9603658536585366	0.9715447154471545	0.9939024390243902
125	0.682	0.996	0.9827235772357723	0.9573170731707317	0.9705284552845529	0.9857723577235772
126	0.655	0.998	0.9806910569105691	0.9502032520325203	0.9684959349593496	0.991869918699187
127	0.696	0.998	0.9878048780487805	0.9664634146341463	0.9715447154471545	0.9928861788617886
128	0.684	0.997	0.983756345177665	0.9604060913705583	0.9675126903553299	0.9898477157360406
129	0.706	0.999	0.9847715736040609	0.9614213197969543	0.9695431472081218	0.9928934010152284
130	0.706	0.999	0.983756345177665	0.9614213197969543	0.9725888324873097	0.9918781725888325
131	0.693	0.998	0.9817073170731707	0.9603658536585366	0.9695121951219512	0.9908536585365854
132	0.698	0.994	0.9847560975609756	0.9684959349593496	0.9725609756097561	0.991869918699187
133	0.72	0.998	0.9857723577235772	0.9634146341463414	0.9725609756097561	0.9928861788617886
134	0.694	0.996	0.9868020304568528	0.9583756345177665	0.9675126903553299	0.9847715736040609
135	0.708	0.998	0.9878048780487805	0.9623983739837398	0.9715447154471545	0.991869918699187
136	0.715	0.998	0.9878048780487805	0.9644308943089431	0.9715447154471545	0.9939024390243902
137	0.729	0.998	0.9918781725888325	0.9604060913705583	0.9715736040609138	0.9918781725888325
138	0.721	0.999	0.9857868020304569	0.965482233502538	0.9766497461928934	0.9918781725888325
139	0.728	1.0	0.9847715736040609	0.9695431472081218	0.9705583756345177	0.9928934010152284
140	0.719	1.0	0.983756345177665	0.9573604060913705	0.9746192893401016	0.9918781725888325
